SMILES,Predicted_KIBA_Score,PubChem_CID,Rank
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC#N,12.93132,169423135.0,1
[O-][n+]1cc(NC(=O)[C@H]2CCOc3ccc(Cl)cc23)c2ccccc2c1,12.673658,156906820.0,2
CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,12.607275,57379345.0,3
CC1OC(OCC2OC(OCCc3ccc(O)c(O)c3)C(O)C(OC(=O)C=Cc3ccc(O)c(O)c3)C2O)C(O)C(O)C1O |w:26.26|,12.545633,156485520.0,4
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)N1CC(C1)C#N,12.519926,156906220.0,5
CS(=O)(=O)N1C[C@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,12.489101,156906197.0,6
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)C1CC1,12.483159,156906292.0,7
CS(=O)(=O)N1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,12.461376,156906433.0,8
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)NC1CC1,12.454144,169423184.0,9
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)N1CCC1,12.439012,156906218.0,10
Clc1ccc2CN(C[C@@H](C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CCOCC1)C#N,12.434926,169423259.0,11
CS(=O)(=O)N1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1,12.386793,156906198.0,12
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC1)C#N,12.382773,156906215.0,13
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)NC1CCC1,12.364189,169423102.0,14
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1CNC1,12.3607235,156906300.0,15
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC#N)CC1,12.360304,169423103.0,16
Clc1ccc2CN(CC(C(=O)Nc3cncc4ccccc34)c2c1)S(=O)(=O)CC1CC1,12.357959,169423100.0,17
